1,52.7,52.7,67.1,50.2,50.2,69.3
2,90.4,58.9,66.4,85.8,58.2,66.2
3,68.5,83.6,95.9,68.4,82.2,92.9
4,90.4,92.5,93.2,89.8,92.4,93.8
5,95.2,98.6,98.6,91.2,82.4,82.4
10,98.6,91.1,99.3,89.7,82.4,91.2
20,98.6,96.6,100,91.2,94.1,95.6
30,90.6,100,100,91.2,94.1,85.3
40,100,97.3,98.6,85.3,91.2,82.4
50,98.6,98.6,100,83.8,88.2,92.6
75,99.3,98.6,100,88.2,88.2,92.6
100,99.3,100,95.2,86.8,89.7,85.3
